word1,word2,cosine_similarity,human_score
fertility,egg,0.023399153724312782,5.1875
five,month,0.28198832273483276,1.069
focus,life,0.13893452286720276,2.3125
food,fruit,0.25324222445487976,7.0625
food,preparation,0.16631776094436646,3.75
football,basketball,0.5464466214179993,4.125
football,tennis,0.4641704857349396,3.6875
forest,graveyard,0.1322779804468155,1.394
furnace,stove,0.2944824695587158,8.0625
game,defeat,0.19719886779785156,3.6875
game,round,0.30253666639328003,5.1875
game,series,0.3110930621623993,4.5625
game,team,0.20264415442943573,4.625
game,victory,0.19856110215187073,4.6875
glass,metal,0.5144099593162537,2.1875
government,crisis,0.012007597833871841,3.625
governor,interview,0.11284032464027405,1.625
governor,office,0.1938866376876831,4.3125
grocery,money,-0.04977784305810928,3.375
harvard,yale,0.6098288297653198,4.875
holy,sex,0.11365605890750885,1.069
hotel,reservation,0.05894553288817406,5.0625
hundred,percent,0.46132850646972656,4.4375
image,surface,0.10357391089200974,1.8125
investigation,effort,0.1972731649875641,3.75
jaguar,car,0.1385851502418518,5.3125
jaguar,cat,0.4629068374633789,6.4375
japanese,american,0.11823542416095734,3.125
jerusalem,israel,0.18868228793144226,6.4375
journal,association,0.20709514617919922,2.625
journey,car,0.08600123226642609,4.0625
journey,voyage,0.37466323375701904,7.5
king,queen,0.4142735004425049,5.6875
lad,brother,0.09652186930179596,4.9375
law,lawyer,0.10843603312969208,6.1875
lawyer,evidence,-0.046050623059272766,3.9375
liability,insurance,0.5589120388031006,4.375
life,death,0.3165459632873535,4.375
life,lesson,0.18365170061588287,3.1875
life,term,-0.032864272594451904,3.8125
line,insurance,0.05211520567536354,1.3125
liquid,water,0.3247588872909546,7.0625
listing,category,0.14201639592647552,5.375
listing,proximity,-0.06692158430814743,1.4375
love,sex,0.14890481531620026,6.375
lover,quarrel,0.2893902659416199,1.6875
luxury,car,-0.049386605620384216,3.3125
man,governor,0.11434762179851532,4.25
man,woman,0.5814187526702881,4.5
mars,scientist,-0.06561391055583954,4.375
mars,water,0.08244946599006653,1.5625
media,gain,0.0693531185388565,1.375
media,radio,0.20766979455947876,6.4375
media,trading,0.21621958911418915,1.8125
mexico,brazil,0.21618980169296265,3.9375
midday,noon,0.25800788402557373,8.9375
mile,kilometer,0.40885603427886963,6.9375
minister,party,0.13626453280448914,3.0625
ministry,culture,0.21538816392421722,2.844
minority,peace,-0.1347225457429886,1.1875
money,bank,0.012576689943671227,6.0
money,cash,0.3283538222312927,8.875
money,cash,0.3283538222312927,9.0315
money,currency,-0.025845684111118317,7.9375
money,deposit,-0.003954090178012848,5.375
money,dollar,0.3946908116340637,7.6875
money,laundering,-0.050301115959882736,4.4565
money,operation,0.14594143629074097,1.875
money,possession,0.12927106022834778,4.3125
money,property,0.3773452043533325,5.0625
money,wealth,0.14570671319961548,7.0625
money,withdrawal,0.10102887451648712,4.0625
monk,slave,0.1551235318183899,2.5625
month,hotel,0.05312515050172806,1.0625
morality,importance,0.2071881890296936,2.5
morality,marriage,0.0015268921852111816,2.375
movie,critic,0.19494690001010895,3.1875
movie,star,0.2920175790786743,4.3125
movie,theater,0.4091944396495819,6.125
museum,theater,0.3425171375274658,3.875
music,project,0.11489253491163254,3.1875
nature,environment,0.425420343875885,6.9375
nature,man,0.267098069190979,2.9375
network,hardware,0.17945228517055511,3.8125
news,report,0.4752348065376282,6.8125
noon,string,0.12238934636116028,0.6875
observation,architecture,0.003975619561970234,1.875
oil,stock,0.43967777490615845,2.9375
opera,industry,0.06534469872713089,1.194
opera,performance,0.2131684124469757,4.875
peace,atmosphere,0.10299298167228699,2.1875
peace,insurance,0.056916117668151855,1.7565
peace,plan,0.1994106024503708,1.5
phone,equipment,-0.04700887203216553,4.0315
physics,chemistry,0.48388591408729553,5.0625
plane,car,0.20483730733394623,3.5625
planet,moon,0.2245837152004242,6.0
planet,people,0.081389881670475,3.375
planet,space,0.1245778501033783,5.3125
planet,star,-0.0836058259010315,5.625
planet,sun,0.20900608599185944,5.8125
population,development,0.1771874725818634,3.4755
possibility,girl,0.08917981386184692,1.069
practice,institution,0.12344549596309662,3.5625
precedent,collection,0.2152819037437439,1.0625
precedent,example,0.33281612396240234,5.4375
precedent,group,-0.08227317035198212,1.5625
precedent,information,0.21731692552566528,2.375
precedent,law,0.10259898751974106,4.375
prejudice,recognition,0.1936238706111908,3.3125
preservation,world,-0.03142688423395157,2.4375
president,medal,0.2637414038181305,1.25
problem,airport,-0.05875302851200104,1.3125
problem,challenge,0.06560645997524261,6.875
production,crew,-0.013903997838497162,3.1875
professor,doctor,0.12995252013206482,6.125
profit,loss,0.4743427336215973,3.875
profit,warning,-0.0619937926530838,1.6875
psychology,anxiety,0.22710703313350677,3.75
psychology,depression,0.1234564334154129,5.25
psychology,discipline,0.20514720678329468,3.3125
psychology,doctor,-0.2289198637008667,5.294
psychology,fear,0.22975298762321472,3.1875
psychology,freud,0.276825487613678,5.6875
psychology,health,0.21855199337005615,4.3625
psychology,mind,0.21966955065727234,5.4375
psychology,science,0.40203994512557983,5.9505
reason,criterion,0.011876646429300308,4.625
record,number,0.10304761677980423,3.5
registration,arrangement,-0.062880739569664,3.4375
report,gain,0.021850012242794037,2.25
rock,jazz,0.04884492605924606,5.5
school,center,0.13617555797100067,3.875
secretary,senate,0.35681813955307007,3.75
seven,series,0.2803007960319519,2.25
shower,flood,-0.12257298082113266,3.5625
situation,conclusion,0.17873789370059967,3.5625
situation,isolation,0.17123615741729736,1.9375
size,prominence,-0.045082006603479385,3.75
skin,eye,0.09192425012588501,2.75
smart,student,-0.03750596195459366,3.625
smart,stupid,0.09224057197570801,3.25
soap,opera,0.1706577092409134,3.5625
space,chemistry,0.18994560837745667,1.8875
space,world,0.14364969730377197,4.9375
start,match,-0.13003355264663696,2.5
start,year,0.32022708654403687,1.625
stock,cd,0.18169796466827393,2.4375
stock,egg,0.1219475045800209,1.4375
stock,jaguar,0.0024206582456827164,0.9375
stock,life,-0.11843614280223846,1.8125
stock,live,-0.036945320665836334,1.875
stock,market,0.5162158012390137,4.875
stock,phone,-0.0771394819021225,0.75
street,avenue,0.551503598690033,7.6875
street,block,0.5108707547187805,6.5625
street,children,-0.08076945692300797,1.294
street,place,0.17821109294891357,4.5
stroke,hospital,0.20859165489673615,3.625
student,professor,0.24566954374313354,4.9375
sugar,approach,-0.05853870138525963,0.9375
summer,drought,0.04869263991713524,3.3125
summer,nature,-0.37525784969329834,4.0
telephone,communication,-0.0008531846106052399,6.6875
television,film,0.16551470756530762,5.75
television,radio,0.40734660625457764,4.625
tennis,racket,0.11612553149461746,5.0
territory,kilometer,0.09066196531057358,2.1875
territory,surface,0.007427621632814407,3.594
theater,history,0.1787397265434265,1.9375
tiger,animal,0.19874334335327148,6.9375
tiger,cat,0.14584127068519592,6.75
tiger,jaguar,0.2718857526779175,5.75
tiger,organism,0.027957124635577202,3.0625
tiger,tiger,1.0,10.0
tiger,zoo,0.3791954219341278,4.9375
train,car,0.25817549228668213,3.5
travel,activity,-0.055681973695755005,4.1875
treatment,recovery,0.18920640647411346,5.3125
type,kind,0.14295876026153564,8.4375
victim,emergency,-0.012798202224075794,2.6875
war,troops,0.22160296142101288,6.375
weapon,secret,-0.0015715286135673523,2.5
weather,forecast,-0.09465643763542175,5.4375
wednesday,news,0.3034737706184387,1.125
wood,forest,0.26643985509872437,7.9375
word,similarity,-0.03994564712047577,0.8125
[Spearman Correlation],,0.3260933653291924,
