word1,word2,cosine_similarity,human_score
journal,association,0.07108208537101746,2.625
journey,car,0.08464033901691437,4.0625
journey,voyage,0.2593808174133301,7.5
king,queen,0.2600906491279602,5.6875
lad,brother,0.1695769876241684,4.9375
law,lawyer,0.09425501525402069,6.1875
lawyer,evidence,-0.02342485636472702,3.9375
liability,insurance,0.38969892263412476,4.375
life,death,0.2296595573425293,4.375
life,lesson,0.05696628987789154,3.1875
life,term,-0.03618757799267769,3.8125
line,insurance,-0.06915818154811859,1.3125
liquid,water,0.2430996596813202,7.0625
listing,category,0.2785998284816742,5.375
listing,proximity,0.37005364894866943,1.4375
love,sex,0.1475999504327774,6.375
lover,quarrel,0.24393191933631897,1.6875
luxury,car,0.012966359034180641,3.3125
man,governor,0.09028271585702896,4.25
man,woman,0.3275117576122284,4.5
mars,scientist,0.23425298929214478,4.375
mars,water,0.00153287872672081,1.5625
media,gain,0.09026466310024261,1.375
media,radio,0.15084320306777954,6.4375
media,trading,0.14222721755504608,1.8125
mexico,brazil,0.2831268608570099,3.9375
midday,noon,0.2581026256084442,8.9375
mile,kilometer,0.2390970140695572,6.9375
minister,party,0.07138513028621674,3.0625
ministry,culture,0.12608656287193298,2.844
minority,peace,-0.004998877644538879,1.1875
money,bank,0.1688568890094757,6.0
money,cash,0.1549386829137802,8.875
money,cash,0.1549386829137802,9.0315
money,currency,0.14337022602558136,7.9375
money,deposit,-0.04954281449317932,5.375
money,dollar,0.22446171939373016,7.6875
money,laundering,0.029557369649410248,4.4565
money,operation,0.15016888082027435,1.875
money,possession,0.061272233724594116,4.3125
money,property,0.22443896532058716,5.0625
money,wealth,0.015336297452449799,7.0625
money,withdrawal,0.18521131575107574,4.0625
monk,slave,0.13573138415813446,2.5625
month,hotel,0.08734600245952606,1.0625
morality,importance,-0.02709849923849106,2.5
morality,marriage,0.11444462835788727,2.375
movie,critic,0.04804599657654762,3.1875
movie,star,0.27643662691116333,4.3125
movie,theater,0.3457607626914978,6.125
museum,theater,0.17830410599708557,3.875
music,project,0.06363315880298615,3.1875
nature,environment,0.24055808782577515,6.9375
nature,man,0.16531996428966522,2.9375
network,hardware,0.13579161465168,3.8125
news,report,0.32166576385498047,6.8125
noon,string,0.08099496364593506,0.6875
observation,architecture,0.18632042407989502,1.875
oil,stock,0.24679255485534668,2.9375
opera,industry,0.03410680219531059,1.194
opera,performance,0.27077555656433105,4.875
peace,atmosphere,0.14948295056819916,2.1875
peace,insurance,0.06810899078845978,1.7565
peace,plan,0.14168336987495422,1.5
phone,equipment,-0.05954626947641373,4.0315
physics,chemistry,0.4218941032886505,5.0625
plane,car,-0.04520942643284798,3.5625
planet,moon,0.06657621264457703,6.0
planet,people,-0.04399098828434944,3.375
planet,space,0.18541358411312103,5.3125
planet,star,-0.00889213103801012,5.625
planet,sun,0.21018841862678528,5.8125
population,development,0.13569897413253784,3.4755
possibility,girl,0.06597738713026047,1.069
practice,institution,0.010813865810632706,3.5625
precedent,collection,0.18823960423469543,1.0625
precedent,example,0.18006008863449097,5.4375
precedent,group,0.034719012677669525,1.5625
precedent,information,0.14073389768600464,2.375
precedent,law,-0.050713930279016495,4.375
prejudice,recognition,0.060122184455394745,3.3125
preservation,world,-0.014650195837020874,2.4375
president,medal,0.1268787384033203,1.25
problem,airport,0.016101524233818054,1.3125
problem,challenge,0.14217279851436615,6.875
production,crew,0.0534798726439476,3.1875
professor,doctor,0.19040881097316742,6.125
profit,loss,0.26383596658706665,3.875
profit,warning,0.10088884830474854,1.6875
psychology,anxiety,0.1205722987651825,3.75
psychology,depression,0.2003679871559143,5.25
psychology,discipline,0.23058295249938965,3.3125
psychology,doctor,0.11991922557353973,5.294
psychology,fear,0.04421992227435112,3.1875
psychology,freud,0.2681368291378021,5.6875
psychology,health,0.19241848587989807,4.3625
psychology,mind,0.21943172812461853,5.4375
psychology,science,0.2492344081401825,5.9505
reason,criterion,0.0577605701982975,4.625
record,number,0.07575763761997223,3.5
registration,arrangement,0.1489783525466919,3.4375
report,gain,0.048693571239709854,2.25
rock,jazz,0.07390415668487549,5.5
school,center,0.08375859260559082,3.875
secretary,senate,0.2627834677696228,3.75
seven,series,0.18274179100990295,2.25
shower,flood,0.17929786443710327,3.5625
situation,conclusion,0.16827383637428284,3.5625
situation,isolation,0.020625639706850052,1.9375
size,prominence,0.024759983643889427,3.75
skin,eye,0.08359194546937943,2.75
smart,student,0.08754871785640717,3.625
smart,stupid,0.13715830445289612,3.25
soap,opera,0.28113073110580444,3.5625
space,chemistry,0.13315120339393616,1.8875
space,world,0.06727473437786102,4.9375
start,match,0.03420262411236763,2.5
start,year,0.17459718883037567,1.625
stock,cd,0.0022234059870243073,2.4375
stock,egg,0.15599370002746582,1.4375
stock,jaguar,0.08318984508514404,0.9375
stock,life,-0.06443500518798828,1.8125
stock,live,-0.1333523690700531,1.875
stock,market,0.2590904235839844,4.875
stock,phone,-0.12680548429489136,0.75
street,avenue,0.3775233328342438,7.6875
street,block,0.33303332328796387,6.5625
street,children,-0.050974249839782715,1.294
street,place,0.11460331082344055,4.5
stroke,hospital,0.06681405007839203,3.625
student,professor,0.21297234296798706,4.9375
sugar,approach,0.08376060426235199,0.9375
summer,drought,0.028857816010713577,3.3125
summer,nature,-0.10133175551891327,4.0
telephone,communication,0.2319660186767578,6.6875
television,film,0.1383085399866104,5.75
television,radio,0.3354317247867584,4.625
tennis,racket,0.3526276648044586,5.0
territory,kilometer,0.1897117644548416,2.1875
territory,surface,-0.008016637526452541,3.594
theater,history,0.0745382010936737,1.9375
tiger,animal,0.2819768786430359,6.9375
tiger,cat,0.25720494985580444,6.75
tiger,jaguar,0.23103076219558716,5.75
tiger,organism,0.30787330865859985,3.0625
tiger,tiger,1.0,10.0
tiger,zoo,0.5042362213134766,4.9375
train,car,0.19988274574279785,3.5
travel,activity,-0.029483113437891006,4.1875
treatment,recovery,0.1343899667263031,5.3125
type,kind,0.15431419014930725,8.4375
victim,emergency,0.18905609846115112,2.6875
war,troops,0.1375969797372818,6.375
weapon,secret,0.14098548889160156,2.5
weather,forecast,0.04469209536910057,5.4375
wednesday,news,0.182596355676651,1.125
wood,forest,0.012662582099437714,7.9375
word,similarity,0.06252747029066086,0.8125
[Spearman Correlation],,0.40836265891180934,
